,Disease,Gene1,Gene2,IAP,Synergy_score,Gene1_expression,Gene2_expression,wilcox_pvalue,specificity_pvalue,sensitivity_R
2514,brca,MAL,PAPSS1,IFNGscore,0.240910991429585,High,Low,0.535717234262126,0.541195476575121,0.477165975061475
2516,brca,MAL,PDCD1LG2,IFNGscore,-0.146505529885215,Low,Low,0.145453335201216,0.283450704225352,0.400130134447674
2520,brca,MAL,PSMD9,IFNGscore,0.231479817185264,High,High,0.861985364313864,0.562197092084006,0.407613825023334
2521,brca,MAL,PVR,IFNGscore,0.267264652785745,High,Low,0.193151371444547,0.479806138933764,0.403904026710902
2522,brca,MAL,RBCK1,IFNGscore,0.360289353595051,High,High,0.0737037898163218,0.336025848142165,0.298169264835057
2523,brca,MAL,RINL,IFNGscore,0.249226933078571,High,High,0.722225070842515,0.526655896607431,0.591138419311923
2524,brca,MAL,ROPN1,IFNGscore,0.348049210088253,High,Low,0.0616865177691726,0.353796445880452,0.317084734786958
2525,brca,MAL,ROPN1B,IFNGscore,0.398329858810846,High,Low,0.0141916906622789,0.258481421647819,0.340235856407812
2526,brca,MAL,SAMD8,IFNGscore,-0.0205393423966319,Low,Low,0.50459022763118,0.839788732394366,6.97876270835435
2527,brca,MAL,SCAMP5,IFNGscore,-0.0835315582250951,Low,Low,0.487486254043981,0.524647887323944,1.69866221811422
2528,brca,MAL,SESTD1,IFNGscore,0.524709911914374,High,Low,0.188454515058032,0.111470113085622,0.438646226106467
2529,brca,MAL,SIRPA,IFNGscore,0.441741493979367,High,High,0.108343836806618,0.208400646203554,0.360226316228951
2530,brca,MAL,SLC7A1,IFNGscore,0.258604160076508,High,Low,0.600526717864179,0.500807754442649,0.465732285059025
2531,brca,MAL,TLR3,IFNGscore,0.505732186960374,High,High,0.0390468960162972,0.121163166397415,0.299197557537617
2532,brca,MAL,TNF,IFNGscore,0.668209226971668,High,High,9.78964500299808E-05,0.020442930153322,0.112803497263947
2537,brca,MAL,TNFRSF9,IFNGscore,0.304870986764206,High,High,0.0350084697910785,0.420032310177706,0.680772347963647
2539,brca,MAL,TNFSF4,IFNGscore,0.58885199203454,High,High,0.00373104707470033,0.0533117932148627,0.28802480200169
2541,brca,MAL,TYK2,IFNGscore,0.419141615074866,High,High,0.151776500073714,0.239095315024233,0.396127148749242
2542,brca,MAL,USP6NL,IFNGscore,-0.023358306041351,Low,High,0.771575619526624,0.813380281690141,3.02345672833718
2544,brca,MAL,VPS39,IFNGscore,0.610533686818345,High,High,0.0194120502371949,0.0403877221324717,0.328221498495398
2545,brca,MAL,VTCN1,IFNGscore,0.404395168273661,High,Low,0.0408940904296941,0.253634894991922,0.342703309480986
2548,brca,MAN2C1,CCL4L2,IFNGscore,-0.0396667414730426,Low,Low,0.17247474776929,0.835466179159049,2.65144847431183
2549,brca,MAN2C1,CD27,IFNGscore,0.0433254142929893,Low,High,0.848972922502334,0.830282861896839,2.4916299931194
2550,brca,MAN2C1,CD274,IFNGscore,0.0210713805712356,Low,High,0.635364635364635,0.806569343065693,3.25344067624129
2551,brca,MAN2C1,CD276,IFNGscore,0.367205926144878,High,Low,0.536010558069382,0.218849840255591,0.540940706151908
2553,brca,MAN2C1,CD70,IFNGscore,-0.0549058201946028,High,Low,0.750613765013504,0.642361111111111,0.988217765790909
2554,brca,MAN2C1,CD80,IFNGscore,-0.018753479919873,Low,Low,0.457386702240809,0.90127970749543,5.35616855791977
2555,brca,MAN2C1,CD86,IFNGscore,-0.0755670846902744,Low,Low,0.328507640243658,0.712979890310786,1.2976654066603
2557,brca,MAN2C1,CSF1,IFNGscore,-0.308017127687968,Low,Low,0.106876316839321,0.0556414219474498,0.322068716487931
